city,share_transactions_with_nonartificial,share_transactions_artificial_only,share_transactions_nonartificial_only,mean_nonartificial_types_per_transaction,median_nonartificial_types_per_transaction,mean_transaction_length,cluster,country_code
AUGSBURG,0.4691462383770076,0.5308537616229924,0.00507185122569738,0.8250211327134404,0.0,5.342349957734573,1,DE
AVILA,0.775491113189897,0.2245088868101029,0.11942625506704085,1.6152167134393514,2.0,5.183037106329904,2,ES
BAMBERG,0.6340468909276249,0.3659531090723751,0.0254841997961264,1.3241590214067278,1.0,6.198776758409786,1,DE
BANSKA_BYSTRICA,0.784586228679722,0.21541377132027795,0.02337334175615919,1.5533796588755528,2.0,6.053063802905875,1,SK
BARLETTA,0.7763975155279503,0.2236024844720497,0.044513457556935816,1.5253623188405796,2.0,4.795548654244306,2,IT
BASEL,0.532258064516129,0.46774193548387094,0.013824884792626729,1.0371543778801844,1.0,5.685195852534562,4,CH
BEAUVAIS,0.8730531883632089,0.12694681163679106,0.04642962092271525,2.2189244784014104,2.0,5.808110490743462,5,FR
BERN,0.666267942583732,0.33373205741626794,0.005382775119617225,1.2419258373205742,1.0,6.191088516746412,4,CH
BIELSKO_BIALA,0.7694262890341321,0.23057371096586782,0.002178649237472767,1.6299927378358752,2.0,6.352578068264343,5,PL
BURNLEY,0.5820292781423524,0.41797072185764766,0.02271580010095911,1.0318021201413428,1.0,5.858657243816254,1,UK
CALAIS,0.7117858980957282,0.28821410190427177,0.016984045290787442,1.5841482243952651,2.0,5.9413278435409165,6,FR
CAMBRIDGE,0.34363636363636363,0.6563636363636364,0.0036363636363636364,0.5418181818181819,0.0,5.465454545454546,4,UK
CELLE,0.8091127098321343,0.1908872901678657,0.09304556354916067,1.9918465227817745,2.0,5.8302158273381295,6,DE
CESKE_BUDEJOVICE,0.6342962507682852,0.36570374923171484,0.012292562999385371,1.2489244007375537,1.0,5.717271051014136,1,CZ
CHALONS_EN_CHAMPAGNE,0.7224469160768453,0.2775530839231547,0.0358948432760364,1.506066734074823,1.0,5.658240647118301,1,FR
CHELTENHAM,0.35864978902953587,0.6413502109704642,0.016033755274261603,0.6759493670886076,0.0,5.3443037974683545,4,UK
COSENZA,0.811864406779661,0.188135593220339,0.011016949152542373,2.204237288135593,2.0,6.135593220338983,7,IT
DROBETA_TURNU_SEVERIN,0.5702380952380952,0.4297619047619048,0.04523809523809524,1.1273809523809524,1.0,5.030952380952381,3,RO
DUNDEE_CITY,0.2783375314861461,0.7216624685138538,0.001889168765743073,0.5075566750629723,0.0,5.339420654911839,4,UK
