cluster,rank,itemset,itemset_description,cluster_mean_exact_support,overall_mean_exact_support,cluster_minus_overall
1,1,11100,continuous urban fabric,0.5628404438238602,0.36266006067255807,0.20018038315130215
1,2,11100 12220,continuous urban fabric + other roads and associated land,0.5623595261246737,0.36225656682323953,0.20010295930143412
1,3,11100 12100 12220,continuous urban fabric + industrial/commercial/public/military/private units + other roads and associated land,0.4335808832326586,0.2747604991935583,0.15882038403910026
1,4,11100 12100,continuous urban fabric + industrial/commercial/public/military/private units,0.43386568313345797,0.27505901742205874,0.15880666571139923
1,5,11100 11210,continuous urban fabric + discontinuous dense urban fabric,0.44679772722359573,0.2950533749471611,0.15174435227643462
1,6,11100 11210 12220,continuous urban fabric + discontinuous dense urban fabric + other roads and associated land,0.4465823829325214,0.2949479681861612,0.1516344147463602
1,7,11100 14100,continuous urban fabric + green urban areas,0.2730145691057818,0.13997311625125047,0.13304145285453134
1,8,11100 12220 14100,continuous urban fabric + other roads and associated land + green urban areas,0.2728550157054236,0.1398852708603704,0.1329697448450532
1,9,11100 11210 12100,continuous urban fabric + discontinuous dense urban fabric + industrial/commercial/public/military/private units,0.3387925524996068,0.21879197832510625,0.12000057417450058
1,10,11100 11210 12100 12220,continuous urban fabric + discontinuous dense urban fabric + industrial/commercial/public/military/private units + other roads and associated land,0.3386653155539621,0.21872524720943778,0.11994006834452434
1,11,11100 12100 14100,continuous urban fabric + industrial/commercial/public/military/private units + green urban areas,0.22613468212104892,0.1071064937581343,0.11902818836291462
1,12,11100 12100 12220 14100,continuous urban fabric + industrial/commercial/public/military/private units + other roads and associated land + green urban areas,0.22605028090039891,0.1070449516301521,0.11900532927024682
1,13,11210,discontinuous dense urban fabric,0.6625082699647257,0.5445247336304413,0.11798353633428438
1,14,11210 12220,discontinuous dense urban fabric + other roads and associated land,0.6597765278156889,0.5428094858714132,0.11696704194427565
1,15,11100 11210 14100,continuous urban fabric + discontinuous dense urban fabric + green urban areas,0.21918047483081599,0.1085396859393594,0.11064078889145658
2,1,32000,herbaceous vegetation associations,0.306116710421454,0.09119127400675708,0.2149254364146969
2,2,21000,arable land,0.6263709656751602,0.42522649628271,0.20114446939245018
2,3,21000 32000,arable land + herbaceous vegetation associations,0.23907543817224028,0.04111574220019017,0.1979596959720501
2,4,12220 32000,other roads and associated land + herbaceous vegetation associations,0.2570813355618189,0.07743199672732541,0.17964933883449347
2,5,22000,permanent crops,0.20188230478454527,0.028660333723699062,0.17322197106084622
2,6,12220 21000 32000,other roads and associated land + arable land + herbaceous vegetation associations,0.2003047706140088,0.03464148777480858,0.16566328283920023
2,7,12220 21000,other roads and associated land + arable land,0.5331035604875771,0.38316538647937554,0.14993817400820159
2,8,12220 22000,other roads and associated land + permanent crops,0.16301474828571866,0.023941447755365317,0.13907330053035333
2,9,21000 22000,arable land + permanent crops,0.14020932243452244,0.01580935237279709,0.12439997006172535
2,10,12100 32000,industrial/commercial/public/military/private units + herbaceous vegetation associations,0.15111354879727512,0.04072488579702752,0.1103886630002476
2,11,12100 21000,industrial/commercial/public/military/private units + arable land,0.3406624831731076,0.23273047002902977,0.10793201314407783
2,12,12220 21000 22000,other roads and associated land + arable land + permanent crops,0.11203202320985697,0.013280556326380708,0.09875146688347626
2,13,12100 12220 21000,industrial/commercial/public/military/private units + other roads and associated land + arable land,0.31829576004005117,0.22393006378584013,0.09436569625421104
2,14,12100 12220 32000,industrial/commercial/public/military/private units + other roads and associated land + herbaceous vegetation associations,0.1267589669269199,0.03662384987363445,0.09013511705328545
2,15,12100 21000 32000,industrial/commercial/public/military/private units + arable land + herbaceous vegetation associations,0.10727430324771865,0.01731936870604696,0.0899549345416717
3,1,13400,land without current use,0.35468227994653456,0.1375259685805101,0.21715631136602445
3,2,12220 13400,other roads and associated land + land without current use,0.35265887519532907,0.13641711494248682,0.21624176025284225
3,3,11210 13400,discontinuous dense urban fabric + land without current use,0.28784128816235327,0.07693712510470578,0.21090416305764748
3,4,11210 12220 13400,discontinuous dense urban fabric + other roads and associated land + land without current use,0.2873468415899762,0.07672117489960044,0.21062566669037575
3,5,12100 13400,industrial/commercial/public/military/private units + land without current use,0.26654601785219173,0.08542055500108915,0.1811254628511026
3,6,12100 12220 13400,industrial/commercial/public/military/private units + other roads and associated land + land without current use,0.2645435748248785,0.08472153662465187,0.17982203820022663
3,7,11210 12100 13400,discontinuous dense urban fabric + industrial/commercial/public/military/private units + land without current use,0.21696566595818054,0.046284647307947464,0.17068101865023308
3,8,11210 12100 12220 13400,discontinuous dense urban fabric + industrial/commercial/public/military/private units + other roads and associated land + land without current use,0.2164712193858035,0.046132523256540416,0.17033869612926308
3,9,11240 12220 21000,discontinuous very-low-density urban fabric + other roads and associated land + arable land,0.23817206260794221,0.07092052682912971,0.16725153577881252
3,10,11240 21000,discontinuous very-low-density urban fabric + arable land,0.2417723655825079,0.07491254375864488,0.166859821823863
3,11,12220 13400 21000,other roads and associated land + land without current use + arable land,0.1822909255981365,0.021077486808424358,0.16121343878971214
3,12,11230 12220 21000,discontinuous low-density urban fabric + other roads and associated land + arable land,0.2578154578740412,0.09719973444440651,0.1606157234296347
3,13,13400 21000,land without current use + arable land,0.18360952724140456,0.023292449324692835,0.16031707791671174
3,14,11220 21000,discontinuous medium-density urban fabric + arable land,0.2966976979307072,0.13696787890438034,0.15972981902632688
