city,support_5_cluster,support_7.5_cluster,support_10_cluster,support_12.5_cluster,support_15_cluster
AUGSBURG,7,6,1,1,4
AVILA,5,5,2,3,7
BAMBERG,6,6,1,1,5
BANSKA_BYSTRICA,7,6,1,1,4
BARLETTA,3,3,2,3,6
BASEL,4,7,4,2,3
BEAUVAIS,2,2,5,6,2
BERN,4,7,4,2,3
BIELSKO_BIALA,2,2,5,6,2
BURNLEY,4,6,1,1,4
CALAIS,6,3,6,5,5
CAMBRIDGE,4,7,4,2,3
CELLE,3,3,6,5,5
CESKE_BUDEJOVICE,7,6,1,1,4
CHALONS_EN_CHAMPAGNE,6,6,1,1,5
CHELTENHAM,4,7,4,2,3
COSENZA,2,2,7,6,1
DROBETA_TURNU_SEVERIN,5,4,3,4,5
DUNDEE_CITY,4,7,4,2,3
ELBLAG,6,6,1,1,4
ENSCHEDE,6,3,6,5,5
FARO,3,3,6,5,5
FOGGIA,3,3,2,3,6
FULDA,6,3,6,5,5
GALWAY,6,6,1,1,5
GERA,2,2,5,6,2
GLOGOW,6,6,1,1,5
GNIEZNO,6,3,3,4,5
GOUDA,4,6,1,1,4
GUIMARAES,2,2,5,6,2
HASTINGS,4,7,4,2,3
HRADEC_KRALOVE,7,6,1,1,4
INNSBRUCK,4,7,4,2,3
IOANNINA,6,6,1,1,5
IRUN,6,3,6,5,5
KARLOVY_VARY,7,6,1,1,4
KECSKEMET,3,3,6,5,5
KORTRIJK,3,3,6,5,5
KUOPIO,1,1,7,7,1
LARISA,5,6,2,3,7
LEMESOS,5,4,3,4,7
LE_MANS,6,3,6,5,5
LIBEREC,6,6,1,1,4
LIEPAJA,7,6,1,1,4
LINCOLN,4,7,4,2,3
LIVORNO,6,3,6,5,5
LJUBLJANA,4,7,4,5,5
LUBECK,6,6,4,5,5
LUXEMBOURG,7,6,1,1,4
MAASTRICHT,6,6,1,1,4
MANRESA,5,5,2,3,7
MARIBOR,3,2,7,7,1
MARTIGUES,1,5,7,7,7
MODENA,3,3,6,5,5
MOSTAR,5,4,3,4,7
NARVA,4,7,4,2,3
NEUMUNSTER,4,7,4,5,5
NEWPORT,4,7,4,5,3
NITRA,7,6,1,1,4
NORRKOPING,1,1,7,7,1
NOVI_SAD,6,6,1,1,5
NYIREGYHAZA,3,3,6,5,5
ODENSE,3,3,6,5,5
OLOMOUC,7,6,1,1,4
OOSTENDE,6,6,1,1,4
ORLEANS,7,6,1,1,4
OSNABRUCK,3,3,6,5,5
OVIEDO,1,2,7,7,2
PABIANICE,6,6,1,1,5
PALENCIA,5,6,1,1,4
PANEVEZYS,6,6,1,1,4
PARDUBICE,7,6,1,1,4
PARMA,5,4,3,4,5
PASSAU,2,2,5,6,2
PAVIA,6,3,6,5,5
PERPIGNAN,5,5,2,3,7
PERUGIA,3,2,7,7,1
PESARO,3,2,7,7,1
PILA,6,6,1,1,5
PLAUEN,2,2,5,6,2
PLOVDIV,6,6,1,1,4
PLZEN,7,6,1,1,4
PODGORICA,4,7,4,2,3
PRESOV,7,6,1,1,4
PRILEP,6,6,1,1,4
PRISTINA,5,4,3,4,7
REYKJAVIK,4,7,4,2,3
RIJEKA,7,5,1,1,4
SALZBURG,4,7,4,2,3
SATU_MARE,6,3,6,5,5
SHKODER,4,7,6,5,3
STAVANGER,4,7,4,2,3
TARBES,6,3,6,5,5
TOLEDO,5,5,2,3,7
TULCEA,3,3,2,3,6
USTI_NAD_LABEM,7,6,1,1,4
VALLETTA,6,6,1,1,4
VASTERAS,1,1,7,7,1
WORCESTER,4,7,4,2,3
ZILINA,7,6,1,1,4
