city,cluster,country_code,transactions,unique_transaction_patterns
AUGSBURG,1,DE,3549,827
BAMBERG,1,DE,981,498
BANSKA_BYSTRICA,1,SK,1583,606
BURNLEY,1,UK,1981,706
CESKE_BUDEJOVICE,1,CZ,1627,616
CHALONS_EN_CHAMPAGNE,1,FR,1978,705
ELBLAG,1,PL,1334,635
GALWAY,1,IE,1975,820
GLOGOW,1,PL,627,320
GOUDA,1,NL,822,320
HRADEC_KRALOVE,1,CZ,2007,789
IOANNINA,1,EL,1910,547
KARLOVY_VARY,1,CZ,1197,541
LIBEREC,1,CZ,3025,1121
LIEPAJA,1,LV,1178,473
LUXEMBOURG,1,LU,1705,643
MAASTRICHT,1,NL,1914,870
NITRA,1,SK,1525,577
NOVI_SAD,1,RS,1728,473
OLOMOUC,1,CZ,1664,680
OOSTENDE,1,BE,1044,373
ORLEANS,1,FR,8859,1900
PABIANICE,1,PL,1007,366
PALENCIA,1,ES,1356,552
PANEVEZYS,1,LT,1567,484
PARDUBICE,1,CZ,1725,688
PILA,1,PL,881,458
PLOVDIV,1,BG,3615,755
PLZEN,1,CZ,3055,1041
PRESOV,1,SK,1305,554
PRILEP,1,MK,700,183
RIJEKA,1,HR,1174,524
USTI_NAD_LABEM,1,CZ,1762,722
VALLETTA,1,MT,3727,783
ZILINA,1,SK,1465,587
AVILA,2,ES,3207,917
BARLETTA,2,IT,1932,549
FOGGIA,2,IT,4678,599
LARISA,2,EL,3770,683
MANRESA,2,ES,1078,522
PERPIGNAN,2,FR,12556,4208
TOLEDO,2,ES,3443,1121
TULCEA,2,RO,1282,535
DROBETA_TURNU_SEVERIN,3,RO,840,329
GNIEZNO,3,PL,1260,638
LEMESOS,3,CY,7951,1676
MOSTAR,3,BA,704,375
PARMA,3,IT,5065,1305
PRISTINA,3,XK,974,403
BASEL,4,CH,3472,1074
BERN,4,CH,3344,1223
CAMBRIDGE,4,UK,1100,357
CHELTENHAM,4,UK,1185,341
DUNDEE_CITY,4,UK,1588,425
HASTINGS,4,UK,840,364
INNSBRUCK,4,AT,1502,649
LINCOLN,4,UK,1022,412
LJUBLJANA,4,SI,7569,2107
LUBECK,4,DE,2641,1193
NARVA,4,EE,623,297
NEUMUNSTER,4,DE,1279,619
NEWPORT,4,UK,2309,893
PODGORICA,4,ME,1085,427
REYKJAVIK,4,IS,3166,983
SALZBURG,4,AT,2428,790
STAVANGER,4,NO,2799,1005
WORCESTER,4,UK,1023,301
BEAUVAIS,5,FR,3403,912
BIELSKO_BIALA,5,PL,2754,1043
GERA,5,DE,2080,852
GUIMARAES,5,PT,9923,3537
PASSAU,5,DE,1549,804
PLAUEN,5,DE,1867,787
CALAIS,6,FR,1943,848
CELLE,6,DE,2085,792
ENSCHEDE,6,NL,4417,1151
FARO,6,PT,4331,1242
FULDA,6,DE,1474,586
IRUN,6,ES,792,377
KECSKEMET,6,HU,6145,1506
KORTRIJK,6,BE,2369,1015
LE_MANS,6,FR,4043,1237
LIVORNO,6,IT,1826,718
MODENA,6,IT,5192,1314
NYIREGYHAZA,6,HU,4190,1113
ODENSE,6,DK,5699,1536
OSNABRUCK,6,DE,2921,1054
PAVIA,6,IT,1396,682
SATU_MARE,6,RO,1709,498
SHKODER,6,AL,286,106
TARBES,6,FR,2783,1005
COSENZA,7,IT,1180,552
KUOPIO,7,FI,11053,1256
MARIBOR,7,SI,3497,943
MARTIGUES,7,FR,2008,849
NORRKOPING,7,SE,13546,1985
OVIEDO,7,ES,6025,1712
PERUGIA,7,IT,11514,2255
PESARO,7,IT,3337,995
VASTERAS,7,SE,7792,1272
