repeat,k,ari
1,2,0.4304144935492726
1,3,0.8554034046320386
1,4,0.8284297088937409
1,5,0.8305083569374623
1,6,0.824424283253164
1,7,0.8213945012713035
1,8,0.7240849807470833
1,9,0.6566899689937826
1,10,0.7265788460572786
2,2,0.11014958531455943
2,3,0.32316079377661033
2,4,0.5876651529075058
2,5,0.6252957875191903
2,6,0.6512006457286619
2,7,0.673614486430275
2,8,0.4214227520829444
2,9,0.4079880359036456
2,10,0.40398446925346365
3,2,0.7720997823854144
3,3,0.7909321900554138
3,4,0.5375668991010474
3,5,0.7474643597041456
3,6,0.8018566703746542
3,7,0.8139801683027713
3,8,0.6331164465159861
3,9,0.599987525186545
3,10,0.6782525905736977
4,2,0.12402048831758941
4,3,0.3687964095172386
4,4,0.7191557734867783
4,5,0.8331261408278199
4,6,0.8678737082760206
4,7,0.8632009036270586
4,8,0.7906027397904147
4,9,0.6724442029124005
4,10,0.7577641069906148
5,2,0.378909408604649
5,3,0.965160273170569
5,4,0.9515901391095056
5,5,0.8686095897635101
5,6,0.9050245333173565
5,7,0.9343438530261388
5,8,0.75636808656446
5,9,0.6955651285731469
5,10,0.6822133152881161
6,2,0.4042525710779961
6,3,0.8347619702698045
6,4,0.8038473787032169
6,5,0.6911405228038494
6,6,0.7205625916564441
6,7,0.7134602430467676
6,8,0.6005368774766758
6,9,0.5306583077260191
6,10,0.5347066947838404
7,2,0.5432432604425143
7,3,0.5885282485182317
7,4,0.6583968113788164
7,5,0.806111562140971
7,6,0.8661235177191574
7,7,0.8695297133053088
7,8,0.7467846500276866
7,9,0.748167140604574
7,10,0.7685654320054686
8,2,0.06284858553158974
8,3,0.45676057812396736
8,4,0.6656042923864144
8,5,0.7961098864737102
8,6,0.8642875747013569
8,7,0.8511824605752525
8,8,0.5998099152798896
8,9,0.5942552424993583
8,10,0.6113250366769507
9,2,0.07344715387708843
9,3,0.5028131017060966
9,4,0.6624513751742817
9,5,0.7616723640613305
9,6,0.825581268193678
9,7,0.8426181490452318
9,8,0.6764558087979886
9,9,0.8095056468427111
9,10,0.7197482464555663
10,2,0.30720953278116936
10,3,0.7055130312006309
10,4,0.7210655413884535
10,5,0.7271297453603062
10,6,0.6834379208912149
10,7,0.6932509230097272
10,8,0.6220711943626753
10,9,0.6439896791475449
10,10,0.6816097809475293
11,2,0.8824127248460211
11,3,0.8821220983851182
11,4,0.8932636065474661
11,5,0.8196785349754451
11,6,0.8772524090105704
11,7,0.8770520670501517
11,8,0.6785608219445984
11,9,0.6725282035544105
11,10,0.7129724413399972
12,2,0.5139162456110302
12,3,0.3113604350433447
12,4,0.6836744923040424
12,5,0.7877703438618329
12,6,0.8559542196319848
12,7,0.8716908617125083
12,8,0.7143059690911668
12,9,0.6893863436393771
12,10,0.6750598642727929
13,2,0.20566239864236086
13,3,0.41395680719997063
13,4,0.7061756657330509
13,5,0.6787313675010276
13,6,0.680471567541109
13,7,0.7017605681525555
13,8,0.41821969430834083
13,9,0.4637337508160137
13,10,0.5426471808451151
14,2,0.18591384254833637
14,3,0.5899062977227243
14,4,0.49155475894727385
14,5,0.6161084229468116
14,6,0.5232882890289362
14,7,0.5256438969764837
14,8,0.5206534403372806
14,9,0.5059255353802652
14,10,0.5819945750385526
15,2,0.06284858553158974
