city,country_code,transactions,unique_transaction_patterns,repeated_transaction_occurrences,share_repeated_occurrences,minimum_transaction_length,median_transaction_length,mean_transaction_length,maximum_transaction_length,duplicate_codes_within_rows,blank_rows_ignored
AUGSBURG,DE,3549,827,2722,0.7669766131304593,2,5.0,5.342349957734573,21,0,0
AVILA,ES,3207,917,2290,0.7140629872154662,2,5.0,5.183037106329904,20,0,0
BAMBERG,DE,981,498,483,0.4923547400611621,2,6.0,6.198776758409786,21,0,0
BANSKA_BYSTRICA,SK,1583,606,977,0.6171825647504738,2,6.0,6.053063802905875,20,0,0
BARLETTA,IT,1932,549,1383,0.7158385093167702,2,5.0,4.795548654244306,22,0,0
BASEL,CH,3472,1074,2398,0.690668202764977,2,5.0,5.685195852534562,21,0,0
BEAUVAIS,FR,3403,912,2491,0.732001175433441,2,6.0,5.808110490743462,23,0,0
BERN,CH,3344,1223,2121,0.6342703349282297,2,6.0,6.191088516746412,22,0,0
BIELSKO_BIALA,PL,2754,1043,1711,0.621278140885984,2,6.0,6.352578068264343,20,0,0
BURNLEY,UK,1981,706,1275,0.6436143361938416,2,6.0,5.858657243816254,20,0,0
CALAIS,FR,1943,848,1095,0.5635615028306742,2,6.0,5.9413278435409165,24,0,0
CAMBRIDGE,UK,1100,357,743,0.6754545454545455,2,5.0,5.465454545454546,20,0,0
CELLE,DE,2085,792,1293,0.6201438848920864,2,6.0,5.8302158273381295,20,0,0
CESKE_BUDEJOVICE,CZ,1627,616,1011,0.6213890596189305,2,6.0,5.717271051014136,20,0,0
CHALONS_EN_CHAMPAGNE,FR,1978,705,1273,0.6435793731041456,2,5.0,5.658240647118301,21,0,0
CHELTENHAM,UK,1185,341,844,0.7122362869198312,2,5.0,5.3443037974683545,16,0,0
COSENZA,IT,1180,552,628,0.5322033898305085,2,6.0,6.135593220338983,21,0,0
DROBETA_TURNU_SEVERIN,RO,840,329,511,0.6083333333333334,2,5.0,5.030952380952381,20,0,0
DUNDEE_CITY,UK,1588,425,1163,0.732367758186398,2,5.0,5.339420654911839,22,0,0
ELBLAG,PL,1334,635,699,0.5239880059970015,2,6.0,6.10944527736132,21,0,0
ENSCHEDE,NL,4417,1151,3266,0.7394158931401404,2,5.0,5.688702739415893,23,0,0
FARO,PT,4331,1242,3089,0.7132302008773955,2,5.0,5.6672823828215195,25,0,0
FOGGIA,IT,4678,599,4079,0.8719538264215476,2,4.0,4.434587430525866,23,0,0
FULDA,DE,1474,586,888,0.6024423337856173,2,6.0,5.756445047489824,18,0,0
GALWAY,IE,1975,820,1155,0.5848101265822785,1,6.0,6.177215189873418,23,0,0
GERA,DE,2080,852,1228,0.5903846153846154,2,6.0,6.172596153846154,19,0,0
GLOGOW,PL,627,320,307,0.4896331738437002,2,6.0,6.212121212121212,19,0,0
GNIEZNO,PL,1260,638,622,0.4936507936507937,2,6.0,6.662698412698413,19,0,0
GOUDA,NL,822,320,502,0.610705596107056,2,6.0,6.261557177615572,20,0,0
GUIMARAES,PT,9923,3537,6386,0.6435553763982667,2,7.0,7.459941549934496,22,0,0
HASTINGS,UK,840,364,476,0.5666666666666667,2,6.0,6.333333333333333,20,0,0
HRADEC_KRALOVE,CZ,2007,789,1218,0.6068759342301944,2,6.0,5.829596412556054,22,0,0
INNSBRUCK,AT,1502,649,853,0.5679094540612517,2,6.0,6.0965379494007985,20,0,0
IOANNINA,EL,1910,547,1363,0.7136125654450262,2,6.0,5.739267015706806,19,0,0
IRUN,ES,792,377,415,0.523989898989899,2,6.0,6.164141414141414,19,0,0
KARLOVY_VARY,CZ,1197,541,656,0.5480367585630743,2,6.0,6.334168755221387,20,0,0
KECSKEMET,HU,6145,1506,4639,0.7549227013832385,2,5.0,5.552644426362897,21,0,0
KORTRIJK,BE,2369,1015,1354,0.5715491768678768,2,6.0,6.380329252849304,21,0,0
KUOPIO,FI,11053,1256,9797,0.8863656925721524,2,4.0,4.551886365692572,23,0,0
LARISA,EL,3770,683,3087,0.8188328912466843,2,5.0,5.039787798408488,21,0,0
LEMESOS,CY,7951,1676,6275,0.7892089045403095,2,6.0,6.105395547729845,24,0,0
LE_MANS,FR,4043,1237,2806,0.69403907989117,2,5.0,5.641108088053426,20,0,0
LIBEREC,CZ,3025,1121,1904,0.6294214876033057,2,6.0,6.265454545454546,20,0,0
LIEPAJA,LV,1178,473,705,0.5984719864176571,2,5.0,5.300509337860781,20,0,0
LINCOLN,UK,1022,412,610,0.5968688845401174,2,6.0,5.800391389432486,19,0,0
LIVORNO,IT,1826,718,1108,0.606790799561884,2,5.0,5.742059145673603,23,0,0
LJUBLJANA,SI,7569,2107,5462,0.7216276919011759,2,5.0,5.615272823358436,24,0,0
LUBECK,DE,2641,1193,1448,0.5482771677394926,2,6.0,5.938280954184021,24,0,0
LUXEMBOURG,LU,1705,643,1062,0.6228739002932551,2,6.0,5.964222873900293,22,0,0
MAASTRICHT,NL,1914,870,1044,0.5454545454545454,2,6.0,6.212121212121212,24,0,0
MANRESA,ES,1078,522,556,0.5157699443413729,2,6.0,5.937847866419295,22,0,0
MARIBOR,SI,3497,943,2554,0.7303402916785817,2,5.0,5.623677437803832,19,0,0
MARTIGUES,FR,2008,849,1159,0.577191235059761,2,6.0,5.951195219123506,21,0,0
MODENA,IT,5192,1314,3878,0.7469183359013867,2,6.0,5.776964560862866,22,0,0
MOSTAR,BA,704,375,329,0.4673295454545454,2,6.0,6.3210227272727275,21,0,0
