city,city_key,pretty_city,cluster,UMAP1,UMAP2,x_plot,y_plot,image_path
AUGSBURG,AUGSBURG,Augsburg,1,1.0680801,12.139926,1.190515878092263,12.020418742687248,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Augsburg.jpg
AVILA,AVILA,Ávila,2,2.613941,11.060328,2.6706458593102864,11.239256001501436,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Avila.jpg
BAMBERG,BAMBERG,Bamberg,1,2.443084,13.236767,2.619706815707749,13.145627620701983,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Bamberg.jpg
BANSKA_BYSTRICA,BANSKA_BYSTRICA,Banská Bystrica,1,0.8260525,12.963538,0.9711666275687267,13.056955064191612,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Banska_Bystrica.jpg
BARLETTA,BARLETTA,Barletta,2,4.974484,11.660747,4.938447821283853,11.630630964883336,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Barletta.jpg
BASEL,BASEL,Basel,4,3.7701945,14.421904,3.8175400169144327,14.38705916422144,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Basel.jpg
BEAUVAIS,BEAUVAIS,Beauvais,5,5.855354,13.896885,5.917804139059742,14.00144735799464,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Beauvais.jpg
BERN,BERN,Bern,4,3.880999,14.646898,4.147929163046656,14.631430049961066,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Bern.jpg
BIELSKO_BIALA,BIELSKO_BIALA,Bielsko Biala,5,5.7531466,13.848609,5.757462724557382,13.749820626968702,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Bielsko_Biala.jpg
BURNLEY,BURNLEY,Burnley,1,2.7927055,14.185595,2.730099907543422,14.071962343145666,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Burnley.jpg
CALAIS,CALAIS,Calais,6,4.030059,12.375939,3.9048081015413,12.35723383252531,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Calais.jpg
CAMBRIDGE,CAMBRIDGE,Cambridge,4,3.5259085,15.137345,3.621903617569647,15.079326452255248,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Cambridge.jpg
CELLE,CELLE,Celle,6,4.6273084,13.248732,4.71088119672693,13.238236184967128,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Celle.jpg
CESKE_BUDEJOVICE,CESKE_BUDEJOVICE,České Budějovice,1,1.395754,11.886046,1.519337016960625,11.860501225444695,c:\Users\it08d\OneDrive - kcg.ac.jp\Downloads\JPER_v3_Notebook_Patch\figures\Ceske_Budejovice.jpg
