city,city_key,pretty_city,cluster,UMAP1,UMAP2
AUGSBURG,AUGSBURG,Augsburg,1,1.0680801,12.139926
AVILA,AVILA,Ávila,2,2.613941,11.060328
BAMBERG,BAMBERG,Bamberg,1,2.443084,13.236767
BANSKA_BYSTRICA,BANSKA_BYSTRICA,Banská Bystrica,1,0.8260525,12.963538
BARLETTA,BARLETTA,Barletta,2,4.974484,11.660747
BASEL,BASEL,Basel,4,3.7701945,14.421904
BEAUVAIS,BEAUVAIS,Beauvais,5,5.855354,13.896885
BERN,BERN,Bern,4,3.880999,14.646898
BIELSKO_BIALA,BIELSKO_BIALA,Bielsko Biala,5,5.7531466,13.848609
BURNLEY,BURNLEY,Burnley,1,2.7927055,14.185595
CALAIS,CALAIS,Calais,6,4.030059,12.375939
CAMBRIDGE,CAMBRIDGE,Cambridge,4,3.5259085,15.137345
CELLE,CELLE,Celle,6,4.6273084,13.248732
CESKE_BUDEJOVICE,CESKE_BUDEJOVICE,České Budějovice,1,1.395754,11.886046
CHALONS_EN_CHAMPAGNE,CHALONS_EN_CHAMPAGNE,Châlons-en-Champagne,1,2.0237205,12.614761
CHELTENHAM,CHELTENHAM,Cheltenham,4,3.311897,14.898458
COSENZA,COSENZA,Cosenza,7,6.2814484,13.856056
DROBETA_TURNU_SEVERIN,DROBETA_TURNU_SEVERIN,Drobeta-Turnu Severin,3,3.1845767,11.569524
DUNDEE_CITY,DUNDEE_CITY,Dundee City,4,3.358015,15.032704
ELBLAG,ELBLAG,Elblag,1,1.5898219,12.472114
ENSCHEDE,ENSCHEDE,Enschede,6,5.007245,12.934977
FARO,FARO,Faro,6,5.1440263,12.173343
FOGGIA,FOGGIA,Foggia,2,5.0200157,11.538616
FULDA,FULDA,Fulda,6,4.435063,12.361821
GALWAY,GALWAY,Galway,1,2.1408615,12.169056
GERA,GERA,Gera,5,5.440876,13.773251
GLOGOW,GLOGOW,Glogow,1,2.827814,13.313617
GNIEZNO,GNIEZNO,Gniezno,3,3.4946249,11.803731
GOUDA,GOUDA,Gouda,1,2.483383,13.950852
GUIMARAES,GUIMARAES,Guimaraes,5,5.790673,13.41167
HASTINGS,HASTINGS,Hastings,4,3.705578,14.816236
HRADEC_KRALOVE,HRADEC_KRALOVE,Hradec Králové,1,1.2504003,12.4616
INNSBRUCK,INNSBRUCK,Innsbruck,4,3.5639038,14.140904
IOANNINA,IOANNINA,Ioannina,1,2.2779195,11.812748
IRUN,IRUN,Irun,6,4.5835557,13.043332
KARLOVY_VARY,KARLOVY_VARY,Karlovy Vary,1,1.6140393,13.36064
KECSKEMET,KECSKEMET,Kecskemet,6,5.461998,12.592879
KORTRIJK,KORTRIJK,Kortrijk,6,4.0215116,11.8122225
KUOPIO,KUOPIO,Kuopio,7,6.835829,13.7718525
LARISA,LARISA,Larisa,2,2.0753284,11.05576
LEMESOS,LEMESOS,Lemesos,3,3.5330193,11.434272
LE_MANS,LE_MANS,le Mans,6,4.560383,12.80762
LIBEREC,LIBEREC,Liberec,1,1.924168,12.822541
LIEPAJA,LIEPAJA,Liepaja,1,1.3948735,11.399374
LINCOLN,LINCOLN,Lincoln,4,2.965004,14.994953
LIVORNO,LIVORNO,Livorno,6,4.8449054,12.787754
LJUBLJANA,LJUBLJANA,Ljubljana,4,4.3270626,13.420005
LUBECK,LUBECK,Lubeck,4,3.8106124,13.135842
LUXEMBOURG,LUXEMBOURG,Luxembourg,1,1.7716565,13.01895
MAASTRICHT,MAASTRICHT,Maastricht,1,2.41937,12.851407
MANRESA,MANRESA,Manresa,2,2.290836,10.9360485
MARIBOR,MARIBOR,Maribor,7,6.4369354,13.540536
MARTIGUES,MARTIGUES,Martigues,7,5.3893995,14.228162
MODENA,MODENA,Modena,6,4.7407403,11.843464
MOSTAR,MOSTAR,Mostar,3,3.438121,11.328639
NARVA,NARVA,Narva,4,3.8062947,14.15172
NEUMUNSTER,NEUMUNSTER,Neumunster,4,4.2411513,14.072977
NEWPORT,NEWPORT,Newport,4,4.162175,13.633967
NITRA,NITRA,Nitra,1,0.9215664,12.341325
NORRKOPING,NORRKOPING,Norrköping,7,6.851943,13.690082
NOVI_SAD,NOVI_SAD,Novi Sad,1,2.567052,11.995667
NYIREGYHAZA,NYIREGYHAZA,Nyíregyháza,6,5.198943,12.577087
ODENSE,ODENSE,Odense,6,5.195844,12.857017
OLOMOUC,OLOMOUC,Olomouc,1,0.76135206,12.464024
OOSTENDE,OOSTENDE,Oostende,1,1.7374933,11.421929
ORLEANS,ORLEANS,Orleans,1,1.4508908,12.332014
OSNABRUCK,OSNABRUCK,Osnabruck,6,4.873475,13.264726
OVIEDO,OVIEDO,Oviedo,7,6.2106075,14.089659
PABIANICE,PABIANICE,Pabianice,1,2.020943,12.029174
PALENCIA,PALENCIA,Palencia,1,2.2548635,13.409708
PANEVEZYS,PANEVEZYS,Panevėžys,1,1.3071643,11.646902
PARDUBICE,PARDUBICE,Pardubice,1,1.2599683,12.871906
PARMA,PARMA,Parma,3,3.8527715,11.438924
PASSAU,PASSAU,Passau,5,5.6207204,13.665855
PAVIA,PAVIA,Pavia,6,4.3450375,12.656215
PERPIGNAN,PERPIGNAN,Perpignan,2,2.6075969,11.041595
PERUGIA,PERUGIA,Perugia,7,6.4634433,13.247837
PESARO,PESARO,Pesaro,7,6.6227117,13.403439
PILA,PILA,Pila,1,3.1068153,13.0852995
PLAUEN,PLAUEN,Plauen,5,5.118595,13.658464
PLOVDIV,PLOVDIV,Plovdiv,1,1.4915651,11.446901
PLZEN,PLZEN,Plzeň,1,0.6709179,12.648526
PODGORICA,PODGORICA,Podgorica,4,3.0756795,14.294317
PRESOV,PRESOV,Prešov,1,1.0823596,12.554457
PRILEP,PRILEP,Prilep,1,2.1996422,11.618825
PRISTINA,PRISTINA,Priština,3,3.6718466,11.54528
REYKJAVIK,REYKJAVIK,Reykjavik,4,3.258747,14.829501
RIJEKA,RIJEKA,Rijeka,1,1.8179271,13.493584
SALZBURG,SALZBURG,Salzburg,4,3.3899906,14.32807
SATU_MARE,SATU_MARE,Satu Mare,6,4.308946,11.802014
SHKODER,SHKODER,Shkoder,6,3.6111753,12.643564
STAVANGER,STAVANGER,Stavanger,4,3.5212395,14.661059
TARBES,TARBES,Tarbes,6,4.2333293,11.883299
TOLEDO,TOLEDO,Toledo,2,2.6715438,11.1633
TULCEA,TULCEA,Tulcea,2,5.0235043,11.986792
USTI_NAD_LABEM,USTI_NAD_LABEM,Ústí nad Labem,1,1.1755406,13.28664
VALLETTA,VALLETTA,Valletta,1,1.9195802,11.2569275
VASTERAS,VASTERAS,Västerås,7,6.7656302,13.856235
WORCESTER,WORCESTER,Worcester,4,3.0929413,15.1552725
ZILINA,ZILINA,Žilina,1,0.6012127,12.615848
