n_neighbors,min_dist,metric,trustworthiness_mean,knn_overlap_mean,distance_spearman_mean,ari_2d_vs_primary_mean,ari_2d_vs_primary_min,seed_stability_ari_mean,seed_stability_ari_min
5,0.0,cosine,0.8846074950690336,0.5443333333333333,0.5897572360956637,0.487661101906607,0.471786840215367,0.8349641024762523,0.7505154639175258
5,0.1,cosine,0.8882524654832347,0.5596666666666668,0.6102928024862386,0.5005278573479962,0.4738222021467746,0.6866991150324523,0.6146233936778914
5,0.5,cosine,0.8869033530571993,0.5566666666666666,0.6263493532977301,0.45668945365782454,0.3972525573237399,0.6227729822434787,0.6019631887745578
15,0.0,cosine,0.9065049309664696,0.586,0.6439096944208164,0.5159788320874644,0.46485040136219896,0.6467762336390173,0.5758093859651652
15,0.1,cosine,0.9072268244575937,0.5896666666666666,0.6370800687173445,0.4713403488803785,0.393068421647303,0.6898913637729803,0.6179592433615086
15,0.5,cosine,0.9061025641025641,0.5813333333333333,0.7085617948065978,0.455141357756599,0.4193840746724005,0.5355067344886723,0.4715775205717991
30,0.0,cosine,0.906844181459566,0.5876666666666667,0.6766928804554451,0.47009791472493223,0.38742279779223554,0.6391003505063719,0.5846839946144643
30,0.1,cosine,0.9066074950690335,0.581,0.6762174661070572,0.48612912093495436,0.4334941390605886,0.5408800151938965,0.4817840899342047
30,0.5,cosine,0.9040276134122288,0.5693333333333334,0.7123679648951212,0.492041246305643,0.44137842703345026,0.5118946536356265,0.45783363661375737
5,0.0,euclidean,0.8674240631163709,0.5296666666666666,0.5684324501189066,0.4922376904264889,0.43253580005336656,0.7244950852868651,0.5867426279302977
5,0.1,euclidean,0.878059171597633,0.5453333333333333,0.6096018290735458,0.4863457425105264,0.4249117250011048,0.700297929825429,0.6769672131669405
5,0.5,euclidean,0.8835739644970415,0.5573333333333333,0.6297266229329044,0.4218818199978463,0.39423113652665637,0.5661541025510969,0.4572987145357375
15,0.0,euclidean,0.8937988165680474,0.5763333333333333,0.5826589003361772,0.4838031090410308,0.4154231523142449,0.6901624208172562,0.5900101019289418
15,0.1,euclidean,0.9112741617357002,0.5866666666666666,0.6877846384797589,0.42957298067799954,0.3574906110481022,0.6522526906496412,0.6002699615417368
15,0.5,euclidean,0.9024418145956608,0.5786666666666666,0.6946261381318489,0.4362758976095651,0.41943451413714655,0.5607759578245318,0.45740056670672186
30,0.0,euclidean,0.907810650887574,0.5716666666666667,0.6825307171544197,0.44418271650068014,0.34189286791156237,0.6064866582703661,0.5202197812572281
30,0.1,euclidean,0.9064181459566075,0.577,0.6931367642594868,0.4447901111342967,0.41450327918733865,0.5428131456326323,0.4880696516863674
30,0.5,euclidean,0.901214990138067,0.5633333333333334,0.7138223795792493,0.4509116773581483,0.3896766238861178,0.49715654227269795,0.4103313296680012
